"03309.38"	"45"
"03790.57"	"79"
"03924.23"	"96"
"04042.65"	"23"
"04172.29"	"99"
"04178.50"	"75"
"04278.05"	"36"
"04297.26"	"98"
"04316.30"	"47"
"04327.73"	"77"
"04367.62"	"13"
"04384.33"	"48"
"04394.60"	"49"
"04475.57"	"94"
"04505.79"	"67"
"04517.27"	"50"
"04524.51"	"78"
"04561.07"	"5"
"04628.40"	"57"
"04635.80"	"83"
"04642.26"	"91"
"04647.13"	"74"
"04652.94"	"84"
"04659.63"	"3"
"04664.59"	"12"
"04681.92"	"66"
"04701.02"	"56"
"04707.41"	"21"
"04727.86"	"80"
"04735.03"	"14"
"04735.20"	"37"
"04755.07"	"7"
"04756.89"	"44"
"04765.05"	"31"
"04812.49"	"82"
"04815.05"	"4"
"04819.70"	"10"
"04830.55"	"88"
"04836.86"	"20"
"04851.48"	"89"
"04876.84"	"95"
"04898.46"	"38"
"04904.21"	"76"
"04908.81"	"86"
"04915.89"	"27"
"04921.27"	"18"
"04945.30"	"53"
"04958.60"	"1"
"04975.22"	"51"
"04979.06"	"16"
"04990.72"	"30"
"05000.71"	"28"
"05019.45"	"22"
"05032.53"	"29"
"05032.68"	"17"
"05040.71"	"60"
"05057.61"	"25"
"05059.43"	"19"
"05112.71"	"81"
"05123.01"	"69"
"05140.35"	"65"
"05152.29"	"11"
"05155.42"	"35"
"05186.43"	"40"
"05206.40"	"87"
"05245.06"	"52"
"05250.40"	"26"
"05253.32"	"62"
"05254.66"	"33"
"05259.92"	"24"
"05265.75"	"93"
"05288.69"	"64"
"05290.41"	"90"
"05298.09"	"55"
"05322.65"	"9"
"05330.80"	"34"
"05337.44"	"72"
"05368.25"	"70"
"05368.83"	"43"
"05379.28"	"92"
"05397.88"	"6"
"05413.51"	"15"
"05415.15"	"63"
"05437.73"	"58"
"05496.05"	"32"
"05497.48"	"61"
"05503.43"	"85"
"05517.24"	"8"
"05524.95"	"0"
"05637.62"	"41"
"05642.89"	"59"
"05696.84"	"42"
"05963.11"	"46"
"05977.19"	"97"
"05994.59"	"2"
"05995.66"	"71"
"06065.39"	"54"
"06193.11"	"39"
"06206.20"	"73"
"06375.45"	"68"
